model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 A Class,2007,Manual,60000,Diesel,115,57.6,2.0,2995
 CLS Class,2019,Semi-Auto,8697,Petrol,145,31.7,3.0,68000
 C Class,2016,Automatic,17268,Diesel,125,60.1,2.1,21400
 A Class,2018,Semi-Auto,14729,Petrol,145,53.3,1.3,20370
 C Class,2013,Manual,75067,Diesel,125,60.1,2.1,8795
 GLC Class,2019,Semi-Auto,3403,Diesel,145,44.8,2.0,32980
 C Class,2020,Semi-Auto,3953,Petrol,145,42.2,2.0,36990
 E Class,2014,Semi-Auto,23226,Diesel,30,58.9,2.1,13490
 E Class,2017,Automatic,17045,Petrol,145,40.4,2.0,27400
 A Class,2019,Automatic,637,Petrol,145,24.8,4.0,125796
 C Class,2019,Semi-Auto,8947,Diesel,145,57.7,2.0,30799
 E Class,2017,Automatic,40566,Diesel,150,72.4,2.0,17800
 GLA Class,2014,Automatic,57649,Diesel,145,55.4,2.1,16190
 GLE Class,2019,Semi-Auto,1378,Diesel,145,32.8,3.0,53499
 SLK,2014,Automatic,55404,Diesel,145,56.5,2.0,10950
 GLC Class,2017,Semi-Auto,33620,Diesel,145,56.5,2.1,24695
 C Class,2017,Semi-Auto,6600,Petrol,145,47.1,2.0,25999
 A Class,2015,Automatic,29917,Petrol,160,45.6,2.0,18500
 C Class,2019,Automatic,7721,Petrol,145,29.1,3.0,50981
 A Class,2019,Semi-Auto,5499,Petrol,150,45.6,2.0,25490
 C Class,2016,Semi-Auto,29002,Diesel,20,65.7,2.1,14398
 C Class,2019,Automatic,3700,Diesel,145,61.4,2.0,39790
 E Class,2017,Semi-Auto,29900,Diesel,145,70.6,2.0,26995
 CL Class,2015,Automatic,19380,Diesel,20,67.3,2.1,16600
 C Class,2019,Semi-Auto,4500,Diesel,145,64.2,2.0,32995
 GLE Class,2019,Semi-Auto,9600,Diesel,145,36.7,3.0,45990
 E Class,2015,Automatic,85000,Diesel,125,61.4,2.1,13950
 X-CLASS,2019,Automatic,16500,Diesel,260,35.8,2.3,28000
 C Class,2019,Semi-Auto,1327,Petrol,145,45.6,1.5,27099
 GLA Class,2016,Semi-Auto,26193,Diesel,125,56.6,2.1,17991
 A Class,2007,Manual,79485,Petrol,200,45.6,1.5,2795
 A Class,2018,Automatic,22971,Diesel,145,70.6,2.1,15799
 C Class,2017,Semi-Auto,34270,Diesel,30,64.2,1.6,16495
 C Class,2019,Semi-Auto,10000,Diesel,145,61.4,2.0,24495
 C Class,2015,Semi-Auto,19830,Petrol,125,50.4,2.0,15790
 GLA Class,2017,Manual,5422,Diesel,30,64.2,2.1,19498
 C Class,2019,Semi-Auto,3341,Petrol,145,45.6,1.5,26500
 C Class,2019,Semi-Auto,5367,Petrol,145,29.1,3.0,40890
 B Class,2019,Semi-Auto,1000,Diesel,145,55.4,2.0,23979
 CL Class,2019,Semi-Auto,9,Petrol,150,33.2,2.0,54980
 C Class,2019,Automatic,1734,Diesel,145,55.4,2.0,33599
 C Class,2015,Semi-Auto,49988,Diesel,30,61.4,2.1,14490
 A Class,2018,Semi-Auto,8551,Petrol,145,53.3,1.3,20999
 E Class,2019,Semi-Auto,14352,Diesel,145,72.4,2.0,24749
 C Class,2015,Automatic,73127,Diesel,30,64.2,2.1,14899
 V Class,2019,Semi-Auto,16,Diesel,145,36.2,2.0,44980
 GLA Class,2017,Manual,56960,Diesel,20,67.3,2.1,15195
 GLA Class,2018,Automatic,13546,Diesel,145,56.5,2.1,22250
 B Class,2018,Automatic,6025,Diesel,145,68.9,2.1,17995
 GLC Class,2016,Semi-Auto,24290,Diesel,125,56.5,2.1,25495
 E Class,2019,Semi-Auto,629,Petrol,145,32.9,2.0,36998
 E Class,2015,Automatic,45847,Diesel,145,54.3,3.0,16786
 B Class,2020,Automatic,2500,Diesel,145,55.4,2.0,24699
 A Class,2013,Automatic,57551,Petrol,145,50.4,1.6,10299
 CLS Class,2015,Automatic,60972,Diesel,160,52.3,3.0,17450
 C Class,2016,Automatic,23109,Petrol,125,52.3,2.0,17480
 C Class,2019,Semi-Auto,14401,Petrol,145,46.3,1.5,19799
 GLC Class,2020,Semi-Auto,500,Petrol,145,22.4,4.0,72995
 GLE Class,2017,Semi-Auto,20113,Diesel,200,47.9,2.1,26998
 E Class,2018,Automatic,16806,Diesel,145,61.4,2.0,22691
 C Class,2018,Automatic,19443,Diesel,150,60.1,2.1,19750
 SL CLASS,2000,Automatic,68709,Petrol,270,24.6,3.2,11750
 A Class,2017,Semi-Auto,43741,Diesel,20,68.9,2.1,15200
 E Class,2019,Semi-Auto,12467,Diesel,145,72.4,2.0,25780
 CL Class,2019,Automatic,4999,Petrol,145,44.1,1.3,28450
 GLC Class,2017,Semi-Auto,10132,Diesel,200,47.9,3.0,28962
 E Class,2019,Automatic,16313,Diesel,150,72.4,2.0,24440
 CLS Class,2019,Automatic,15263,Diesel,145,45.6,2.0,35950
 V Class,2017,Automatic,16000,Diesel,145,44.8,2.1,31980
 B Class,2013,Semi-Auto,42050,Diesel,30,61.4,2.1,12500
 GLS Class,2019,Semi-Auto,6510,Diesel,145,37.2,3.0,48249
 GLE Class,2015,Automatic,46117,Diesel,205,47.9,2.1,23699
 C Class,2019,Semi-Auto,5926,Diesel,145,56.5,2.0,27199
 E Class,2019,Semi-Auto,12630,Diesel,145,61.4,2.0,28995
 A Class,2017,Manual,23032,Diesel,145,62.8,2.1,15648
 A Class,2016,Semi-Auto,66000,Diesel,20,68.9,2.1,13995
 C Class,2019,Semi-Auto,16,Diesel,145,61.4,2.0,31980
 A Class,2018,Manual,15155,Diesel,145,68.9,1.5,16799
 GLC Class,2019,Semi-Auto,1000,Petrol,145,22.1,4.0,75729
 GLC Class,2015,Automatic,18580,Diesel,125,56.5,2.1,22965
 E Class,2019,Semi-Auto,9155,Diesel,145,72.4,2.0,25676
 C Class,2019,Semi-Auto,1568,Diesel,145,60.1,1.6,29980
 GLA Class,2017,Automatic,58268,Diesel,30,64.2,2.1,15000
 CL Class,2016,Semi-Auto,16043,Petrol,205,40.9,2.0,29999
 C Class,2016,Manual,42622,Diesel,20,70.6,2.1,13300
 E Class,2019,Semi-Auto,3325,Petrol,145,32.5,3.0,46998
 GLS Class,2017,Automatic,21200,Diesel,145,37.2,3.0,42489
 CLA Class,2014,Manual,82580,Diesel,30,64.2,1.8,12795
 A Class,2013,Semi-Auto,16139,Petrol,125,52.3,1.6,11490
 V Class,2019,Manual,5000,Diesel,145,46.3,2.1,24990
 E Class,2016,Semi-Auto,40100,Petrol,165,43.5,2.0,21995
 C Class,2017,Automatic,25048,Petrol,145,36.2,3.0,28672
 GLA Class,2016,Semi-Auto,28130,Diesel,125,56.6,2.1,18750
 GLC Class,2016,Semi-Auto,22989,Diesel,125,56.5,2.1,24490
 C Class,2015,Semi-Auto,33425,Diesel,30,64.2,2.1,17495
 A Class,2016,Semi-Auto,27404,Diesel,20,74.3,1.5,17890
 E Class,2020,Semi-Auto,3999,Petrol,145,32.1,3.0,56980
 C Class,2018,Automatic,3438,Petrol,145,44.1,2.0,28399
 C Class,2015,Semi-Auto,30380,Diesel,20,64.2,2.1,14440
 A Class,2018,Automatic,30817,Diesel,145,65.7,1.5,17244
 C Class,2019,Semi-Auto,3598,Diesel,145,58.9,1.6,27099
 E Class,2019,Semi-Auto,3896,Diesel,145,57.7,2.0,37399
 X-CLASS,2018,Automatic,14000,Diesel,240,35.8,2.3,28990
 A Class,2020,Manual,2125,Petrol,145,28.5,1.3,22990
 C Class,2019,Automatic,3360,Diesel,145,54.3,1.6,30444
 GLE Class,2017,Automatic,22585,Diesel,200,47.9,2.1,24500
 C Class,2019,Semi-Auto,18388,Diesel,150,64.2,2.0,32994
 C Class,2016,Semi-Auto,14160,Diesel,20,64.2,2.1,17992
 GLA Class,2019,Semi-Auto,12493,Petrol,150,50.4,1.6,23995
 E Class,2019,Semi-Auto,3242,Petrol,145,39.8,2.0,28149
 A Class,2017,Semi-Auto,43436,Diesel,20,74.3,1.5,15475
 C Class,2017,Automatic,29695,Diesel,30,64.2,2.1,19200
 A Class,2016,Manual,24623,Diesel,30,62.8,2.1,15699
 S Class,2016,Automatic,27000,Diesel,160,50.4,3.0,30000
 C Class,2018,Semi-Auto,35517,Petrol,145,49.6,2.0,18171
 C Class,2018,Automatic,15922,Diesel,145,60.1,2.1,21500
 C Class,2009,Automatic,96000,Diesel,235,42.2,2.1,4200
 C Class,2020,Semi-Auto,250,Petrol,145,29.1,3.0,54000
 E Class,2018,Automatic,9074,Diesel,145,61.4,2.0,23963
 A Class,2020,Semi-Auto,1000,Petrol,145,53.3,1.3,25879
 E Class,2014,Semi-Auto,41560,Diesel,125,57.7,2.1,14199
 GLA Class,2017,Manual,22526,Petrol,145,48.7,1.6,16800
 S Class,2018,Automatic,10842,Petrol,145,40.9,3.0,51991
 C Class,2019,Semi-Auto,14107,Diesel,145,61.4,2.0,26396
 A Class,2016,Manual,31000,Diesel,30,62.8,2.1,14990
 A Class,2013,Automatic,67581,Diesel,30,65.7,1.8,9499
 C Class,2018,Semi-Auto,19870,Petrol,145,32.8,4.0,49990
 C Class,2019,Automatic,6052,Diesel,145,54.3,2.0,29496
 CLA Class,2019,Automatic,6571,Diesel,145,55.4,2.0,32890
 C Class,2019,Semi-Auto,13359,Petrol,145,46.3,1.5,19899
 B Class,2019,Semi-Auto,12244,Petrol,145,45.6,1.3,20698
 B Class,2013,Semi-Auto,40340,Petrol,150,47.9,1.6,9500
 GLA Class,2019,Semi-Auto,12137,Diesel,145,67.3,2.1,23249
 CL Class,2014,Manual,28612,Diesel,30,64.2,1.8,15250
 GLA Class,2019,Semi-Auto,1523,Diesel,145,64.2,2.1,24999
 CL Class,2019,Semi-Auto,20358,Diesel,145,51.4,2.2,22000
 A Class,2016,Manual,32315,Diesel,30,62.8,2.1,16500
 C Class,2019,Semi-Auto,13012,Petrol,145,46.3,1.5,24799
 C Class,2016,Semi-Auto,54546,Petrol,125,53.3,2.0,13412
 C Class,2017,Semi-Auto,2800,Petrol,145,42.2,2.0,25999
 GLA Class,2017,Manual,43239,Diesel,30,64.2,2.1,18101
 GLE Class,2019,Semi-Auto,2010,Diesel,145,36.7,2.0,49980
 C Class,2014,Automatic,80579,Diesel,30,64.2,2.1,13600
 CLS Class,2019,Automatic,3572,Diesel,145,48.7,2.9,39599
 A Class,2019,Manual,1200,Petrol,145,47.1,1.3,23399
 GLA Class,2016,Automatic,37482,Diesel,125,56.5,2.1,18991
 A Class,2015,Automatic,49757,Diesel,20,68.9,1.5,12595
 GLA Class,2016,Automatic,44930,Diesel,125,56.5,2.1,16700
 SLK,2013,Automatic,51458,Diesel,145,56.5,2.0,9600
 E Class,2014,Automatic,56477,Diesel,30,64.2,2.1,11999
 C Class,2013,Automatic,50000,Diesel,145,54.3,2.1,10490
 A Class,2018,Semi-Auto,12043,Diesel,145,65.7,1.5,18691
 GLA Class,2014,Semi-Auto,42301,Diesel,30,62.8,2.1,13991
 C Class,2020,Automatic,6000,Diesel,145,64.2,2.0,30990
 GLC Class,2019,Semi-Auto,4000,Diesel,145,44.8,2.0,34500
 A Class,2013,Manual,41966,Diesel,0,74.3,1.5,9608
 GLC Class,2019,Semi-Auto,8763,Diesel,145,56.5,2.1,28990
 E Class,2019,Semi-Auto,1506,Diesel,145,67.3,2.0,26980
 GL Class,2017,Automatic,28000,Diesel,200,47.9,2.1,27990
 GLC Class,2020,Semi-Auto,6000,Diesel,145,40.4,2.0,44995
 C Class,2018,Automatic,12397,Diesel,145,58.9,2.1,24546
 GLC Class,2019,Semi-Auto,9235,Diesel,145,40.4,2.0,43299
 C Class,2014,Automatic,10,Diesel,20,64.2,2.1,20495
 CL Class,2016,Automatic,42717,Diesel,125,58.9,2.1,14899
 C Class,2016,Automatic,30173,Diesel,20,64.2,2.1,15699
 E Class,2016,Automatic,37371,Diesel,125,61.4,2.1,15999
 GLA Class,2018,Semi-Auto,18281,Diesel,145,56.5,2.1,23980
 A Class,2014,Manual,40183,Diesel,20,70.6,1.5,11750
 C Class,2019,Semi-Auto,19484,Diesel,145,61.4,2.0,24799
 A Class,2018,Automatic,18618,Diesel,145,65.7,1.5,18249
 C Class,2018,Semi-Auto,15075,Petrol,145,50.4,2.0,18998
 E Class,2017,Automatic,18330,Diesel,145,72.4,2.0,20498
 A Class,2019,Automatic,15689,Diesel,145,65.7,1.5,18141
 CLS Class,2015,Automatic,48126,Diesel,160,49.6,3.0,19995
 A Class,2020,Semi-Auto,1499,Petrol,145,32.8,2.0,48790
 GLA Class,2019,Semi-Auto,21131,Diesel,145,67.3,2.1,22099
 CLS Class,2015,Semi-Auto,68353,Diesel,160,52.3,3.0,16750
 C Class,2017,Automatic,31530,Diesel,30,64.2,2.1,18400
 C Class,2017,Automatic,35599,Petrol,145,47.9,2.0,19465
 C Class,2009,Automatic,42000,Petrol,235,38.7,1.6,6995
 E Class,2017,Semi-Auto,15834,Diesel,20,72.4,2.0,19450
 C Class,2018,Semi-Auto,15488,Petrol,145,46.3,1.5,23522
 C Class,2019,Semi-Auto,7532,Petrol,145,42.2,2.0,30840
 C Class,2017,Automatic,37778,Diesel,150,64.2,2.1,17795
 E Class,2019,Automatic,14908,Diesel,145,72.4,2.0,24965
 A Class,2018,Automatic,15893,Petrol,145,52.3,1.6,17600
 C Class,2017,Semi-Auto,22079,Diesel,145,67.3,2.1,24502
 E Class,2019,Automatic,5100,Petrol,145,32.5,3.0,43600
 E Class,2020,Semi-Auto,51,Petrol,145,32.5,2.0,45900
 A Class,2016,Semi-Auto,12500,Petrol,30,55.4,1.6,14999
 A Class,2018,Semi-Auto,29686,Petrol,145,53.3,1.6,17132
 E Class,2019,Semi-Auto,15122,Diesel,145,72.4,2.0,25780
 C Class,2016,Semi-Auto,46080,Diesel,30,65.7,2.1,21133
 C Class,2017,Automatic,19000,Petrol,150,47.1,2.0,22950
 S Class,2019,Semi-Auto,6675,Diesel,145,48.7,3.0,60849
 E Class,2017,Semi-Auto,18406,Diesel,145,65.7,2.0,21999
 A Class,2017,Semi-Auto,9872,Petrol,145,40.9,2.0,31342
 GLE Class,2016,Semi-Auto,38759,Diesel,200,47.9,2.1,25000
 C Class,2016,Semi-Auto,6605,Petrol,125,51.4,2.0,20299
 CL Class,2019,Semi-Auto,3034,Petrol,145,44.8,1.3,26699
 B Class,2019,Automatic,1695,Diesel,145,55.4,2.0,24490
 C Class,2019,Semi-Auto,14426,Petrol,145,46.3,1.5,20249
 C Class,2013,Semi-Auto,30035,Petrol,160,44.8,1.6,11998
 X-CLASS,2019,Automatic,8974,Diesel,265,35.8,2.3,22995
 A Class,2016,Manual,27511,Diesel,20,72.4,1.5,14038
 SLK,2016,Automatic,39820,Diesel,30,70.6,2.1,16299
 GLE Class,2016,Semi-Auto,27595,Diesel,260,42.8,3.0,26295
 E Class,2019,Semi-Auto,2582,Diesel,145,45.6,2.0,33399
 C Class,2019,Automatic,5465,Petrol,145,44.1,2.0,30516
 CLS Class,2013,Automatic,56198,Diesel,200,46.3,3.0,14750
 C Class,2017,Semi-Auto,41131,Diesel,30,65.7,2.1,22590
 E Class,2019,Semi-Auto,3846,Diesel,145,57.7,2.0,35480
 GLE Class,2016,Semi-Auto,63250,Diesel,145,32.5,3.0,29990
 C Class,2015,Manual,83193,Diesel,20,68.9,2.1,11000
 C Class,2019,Semi-Auto,4285,Diesel,145,61.4,2.0,28498
 A Class,2018,Semi-Auto,11923,Petrol,145,53.3,1.3,21282
 A Class,2019,Semi-Auto,10440,Diesel,145,68.9,1.5,19499
 A Class,2018,Automatic,6419,Diesel,145,65.7,1.5,19995
 GLC Class,2018,Automatic,17060,Diesel,150,56.5,2.1,27991
 C Class,2019,Semi-Auto,14694,Petrol,145,44.1,1.5,20980
 GLE Class,2020,Semi-Auto,3600,Diesel,145,32.8,2.9,54999
 GL Class,2016,Automatic,14253,Diesel,325,36.2,3.0,35371
 C Class,2019,Automatic,2225,Diesel,145,55.4,2.0,30249
 E Class,2015,Automatic,71496,Diesel,160,51.4,2.1,13499
 A Class,2016,Automatic,27655,Petrol,200,42.8,2.0,19800
 C Class,2019,Semi-Auto,4703,Diesel,145,57.7,2.0,29290
 CL Class,2019,Automatic,4312,Petrol,145,44.8,1.3,25920
 A Class,2019,Semi-Auto,8829,Diesel,145,62.8,1.5,23700
 C Class,2018,Semi-Auto,9699,Petrol,145,44.1,2.0,25990
 A Class,2018,Automatic,9122,Diesel,145,65.7,1.5,19385
 C Class,2019,Semi-Auto,14525,Petrol,145,44.1,1.5,24499
 E Class,2020,Semi-Auto,1499,Diesel,145,70.6,2.0,36990
 GLC Class,2019,Semi-Auto,1224,Diesel,145,42.2,2.1,34299
 GLS Class,2018,Automatic,18500,Diesel,145,37.2,3.0,43289
 GL Class,2017,Automatic,56316,Diesel,125,56.5,2.1,20500
 GLC Class,2019,Semi-Auto,4270,Diesel,145,41.5,2.1,31695
 E Class,2018,Automatic,26439,Diesel,145,72.4,2.0,19899
 A Class,2020,Manual,2999,Petrol,145,28.5,1.3,24495
 C Class,2019,Semi-Auto,5960,Diesel,145,64.2,2.0,29890
 GLC Class,2017,Semi-Auto,51000,Diesel,125,56.5,2.1,21380
 E Class,2017,Automatic,21851,Diesel,30,65.7,2.0,20475
 A Class,2017,Manual,24105,Diesel,20,68.9,1.5,15799
 A Class,2017,Automatic,39432,Diesel,20,74.3,1.5,14830
 CLS Class,2013,Semi-Auto,85967,Diesel,200,46.3,3.0,11991
 SLK,2014,Automatic,16500,Diesel,145,56.5,2.1,16994
 A Class,2019,Semi-Auto,2425,Petrol,145,53.3,1.3,25490
 GLA Class,2019,Automatic,7194,Petrol,145,37.7,2.0,35890
 GLE Class,2016,Semi-Auto,2933,Diesel,200,47.9,2.1,29995
 GLC Class,2017,Semi-Auto,21500,Diesel,145,56.5,2.1,26995
 GLA Class,2018,Automatic,13550,Diesel,145,56.5,2.1,21326
 CL Class,2015,Semi-Auto,41300,Diesel,20,67.3,2.1,16490
 C Class,2018,Automatic,31942,Petrol,150,50.4,2.0,16500
 E Class,2019,Semi-Auto,9853,Diesel,145,72.4,2.0,25780
 GLE Class,2019,Automatic,11800,Petrol,150,30.1,3.0,50950
 SL CLASS,2016,Automatic,23735,Petrol,235,36.7,3.0,36599
 E Class,2019,Semi-Auto,9000,Diesel,145,61.4,2.0,27790
 A Class,2014,Automatic,35613,Diesel,20,68.9,2.1,13000
 C Class,2019,Semi-Auto,7351,Petrol,145,30.4,3.0,43049
 E Class,2018,Semi-Auto,6897,Diesel,145,41.5,3.0,34980
 E Class,2017,Automatic,26296,Diesel,150,61.4,2.1,20450
 C Class,2019,Automatic,508,Petrol,145,44.1,1.5,24799
 E Class,2019,Automatic,5588,Petrol,145,32.1,3.0,53122
 A Class,2019,Semi-Auto,8338,Diesel,145,67.3,1.5,22250
 E Class,2013,Automatic,33516,Diesel,160,49.6,3.0,13790
 E Class,2019,Semi-Auto,15289,Diesel,145,72.4,2.0,24649
 GLC Class,2019,Automatic,8999,Petrol,145,34.0,3.0,42495
 C Class,2017,Semi-Auto,13716,Diesel,30,65.7,2.1,24289
 A Class,2017,Automatic,9756,Diesel,145,74.3,1.5,15993
 A Class,2017,Manual,18969,Petrol,145,51.4,1.6,16500
 A Class,2019,Semi-Auto,1000,Petrol,145,24.8,4.0,134219
 C Class,2018,Automatic,30726,Diesel,145,64.2,2.1,16800
 A Class,2016,Manual,27539,Petrol,125,51.4,1.6,12750
 A Class,2019,Automatic,9,Petrol,145,53.3,1.3,25495
 A Class,2019,Automatic,2477,Diesel,145,65.7,1.5,21099
 A Class,2019,Semi-Auto,10378,Petrol,145,35.3,2.0,33995
 C Class,2018,Automatic,35720,Diesel,150,67.3,2.1,21400
 V Class,2019,Automatic,8251,Diesel,145,36.2,2.0,49995
 C Class,2019,Manual,890,Diesel,145,64.2,1.6,26499
 A Class,2018,Semi-Auto,14314,Petrol,145,53.3,1.6,19012
 E Class,2019,Semi-Auto,6134,Diesel,150,72.4,2.0,26999
 C Class,2017,Automatic,17601,Petrol,150,49.6,2.0,19290
 C Class,2015,Semi-Auto,24923,Diesel,30,64.2,2.1,17636
 GLC Class,2019,Automatic,607,Petrol,145,26.4,4.0,60699
 C Class,2012,Automatic,55685,Diesel,145,54.3,2.1,9799
 C Class,2017,Semi-Auto,22349,Petrol,145,50.4,2.0,17998
 A Class,2019,Automatic,250,Petrol,145,24.6,4.0,126000
 E Class,2017,Automatic,14021,Diesel,145,65.7,2.0,20849
 A Class,2017,Automatic,12355,Diesel,145,68.9,2.1,17490
 A Class,2019,Automatic,1759,Diesel,145,65.7,1.5,21299
 C Class,2017,Automatic,27287,Petrol,125,53.3,2.0,14900
 CL Class,2015,Semi-Auto,54029,Diesel,20,62.8,2.1,13500
 CLS Class,2019,Semi-Auto,7444,Diesel,145,48.7,2.9,35980
 A Class,2017,Manual,35389,Diesel,20,68.9,1.5,14400
 C Class,2019,Automatic,15194,Diesel,145,61.4,2.0,23289
 C Class,2017,Semi-Auto,23393,Diesel,145,64.2,2.1,18399
 C Class,2019,Semi-Auto,3446,Petrol,145,46.3,1.5,34480
 E Class,2019,Semi-Auto,11360,Diesel,145,72.4,2.0,24999
 B Class,2019,Automatic,9373,Diesel,145,53.3,2.0,26900
 CLS Class,2015,Semi-Auto,35866,Diesel,160,49.6,3.0,19298
 GLE Class,2016,Automatic,30814,Diesel,260,42.8,3.0,26550
 A Class,2016,Manual,21052,Diesel,20,72.4,1.5,13299
 GLA Class,2019,Manual,6587,Petrol,145,40.9,1.6,20995
 SL CLASS,2017,Semi-Auto,15244,Diesel,145,70.6,2.1,20349
 A Class,2015,Semi-Auto,25300,Diesel,20,68.9,1.5,13400
 C Class,2015,Automatic,67889,Hybrid,0,76.4,2.1,15275
 C Class,2018,Semi-Auto,16424,Diesel,145,64.2,2.1,21000
 A Class,2018,Automatic,12124,Diesel,150,65.7,1.5,18000
 GLA Class,2016,Semi-Auto,32040,Diesel,125,56.5,2.1,19399
 B Class,2019,Manual,5317,Petrol,145,49.6,1.6,16930
 A Class,2014,Manual,63381,Diesel,30,62.8,1.8,9853
 E Class,2019,Semi-Auto,7743,Diesel,145,38.2,3.0,42649
 GLC Class,2016,Automatic,41351,Diesel,125,56.5,2.1,22390
 A Class,2019,Manual,520,Petrol,145,47.1,1.3,21895
 A Class,2017,Manual,19733,Petrol,125,51.4,1.6,15637
 C Class,2019,Automatic,6995,Diesel,145,57.7,2.0,26500
 C Class,2016,Automatic,42402,Hybrid,0,134.5,2.0,16822
 GLC Class,2017,Semi-Auto,32725,Diesel,200,47.9,3.0,27995
 A Class,2019,Semi-Auto,1129,Diesel,145,56.5,2.0,26480
 GLA Class,2020,Semi-Auto,16,Petrol,145,37.2,1.6,25480
 B Class,2019,Semi-Auto,4012,Diesel,145,55.4,2.0,23980
 GLE Class,2016,Semi-Auto,30121,Diesel,205,47.9,2.1,24998
 GLC Class,2019,Semi-Auto,8811,Diesel,145,41.5,2.1,27991
 C Class,2015,Automatic,44086,Diesel,125,60.1,2.1,16395
 A Class,2015,Semi-Auto,3587,Diesel,20,74.3,1.5,15980
 E Class,2016,Semi-Auto,16503,Diesel,20,72.4,2.0,17990
 B Class,2015,Semi-Auto,59492,Diesel,20,67.3,2.1,11991
 GLC Class,2018,Semi-Auto,20696,Diesel,150,56.5,2.1,26995
 A Class,2019,Semi-Auto,18086,Diesel,145,65.7,1.5,18480
 C Class,2002,Automatic,52700,Petrol,325,31.4,2.0,2140
 C Class,2019,Semi-Auto,1000,Petrol,145,45.6,1.5,25799
 E Class,2020,Semi-Auto,1000,Diesel,145,57.7,2.0,40979
 GLC Class,2016,Automatic,30810,Diesel,150,56.5,2.1,27250
 GLA Class,2019,Manual,22326,Petrol,145,40.9,1.6,17600
 A Class,2019,Automatic,5999,Petrol,145,47.9,1.3,23999
 C Class,2020,Semi-Auto,16,Diesel,145,64.2,2.0,32480
 C Class,2017,Automatic,46294,Diesel,20,67.3,2.1,18795
 GLC Class,2018,Automatic,25359,Diesel,145,56.5,2.1,32245
 C Class,2019,Automatic,10335,Diesel,145,57.7,2.0,30436
 C Class,2017,Automatic,32408,Diesel,30,61.4,2.1,18000
 B Class,2014,Automatic,41039,Diesel,30,64.2,1.5,9890
 C Class,2020,Semi-Auto,30,Diesel,145,64.2,2.0,33995
 A Class,2019,Automatic,4105,Diesel,145,56.5,2.0,26999
 C Class,2017,Semi-Auto,22547,Petrol,300,34.5,4.0,40980
 A Class,2018,Automatic,12786,Petrol,145,52.3,1.6,20944
 GL Class,2016,Automatic,35025,Diesel,125,56.5,2.1,17069
 A Class,2020,Semi-Auto,1499,Petrol,145,53.3,1.3,25890
 B Class,2019,Semi-Auto,12250,Diesel,145,55.4,2.0,22890
 C Class,2015,Automatic,58873,Diesel,20,67.3,2.1,19825
 C Class,2019,Semi-Auto,11480,Diesel,145,56.5,2.0,27595
 C Class,2020,Automatic,2690,Diesel,145,48.7,2.0,35490
 E Class,2016,Semi-Auto,41090,Petrol,235,37.7,3.5,21999
 E Class,2019,Semi-Auto,9957,Diesel,145,42.8,2.0,35699
 A Class,2018,Automatic,5177,Petrol,145,53.3,1.3,19660
 E Class,2017,Semi-Auto,17890,Diesel,160,52.3,3.0,20998
 C Class,2017,Automatic,41539,Diesel,30,65.7,2.1,21980
 GLC Class,2019,Automatic,6940,Diesel,145,44.8,2.0,34400
 C Class,2019,Semi-Auto,9888,Petrol,145,46.3,1.5,24599
 C Class,2019,Semi-Auto,11980,Diesel,145,56.5,2.0,26995
 E Class,2018,Semi-Auto,36563,Diesel,150,72.4,2.0,21495
 B Class,2019,Semi-Auto,8768,Diesel,145,54.3,2.0,27299
 C Class,2017,Semi-Auto,46512,Diesel,145,65.7,2.1,22000
 A Class,2020,Semi-Auto,1000,Petrol,145,53.3,1.3,25879
 C Class,2017,Semi-Auto,42100,Hybrid,0,134.5,2.0,18498
 E Class,2013,Automatic,74000,Diesel,200,47.1,3.0,11990
 C Class,2015,Semi-Auto,58724,Diesel,145,53.3,2.1,10700
 X-CLASS,2019,Automatic,8000,Diesel,260,31.4,3.0,33990
 GLC Class,2019,Semi-Auto,5943,Diesel,145,42.2,2.1,32249
 A Class,2018,Manual,14675,Diesel,145,68.9,1.5,16780
 E Class,2016,Semi-Auto,37915,Diesel,160,51.4,3.0,20498
 C Class,2017,Automatic,22919,Petrol,145,47.1,2.0,23965
 C Class,2019,Automatic,5000,Diesel,145,61.4,2.0,30399
 E Class,2017,Automatic,19954,Diesel,145,61.4,2.0,22470
 CLS Class,2016,Semi-Auto,22878,Diesel,160,49.6,3.0,24980
 GLE Class,2017,Automatic,17800,Diesel,300,39.2,3.0,39991
 A Class,2015,Semi-Auto,22369,Diesel,20,68.9,1.5,12900
 CL Class,2019,Semi-Auto,12790,Diesel,145,51.4,2.2,26980
 B Class,2019,Semi-Auto,14300,Petrol,145,45.6,1.3,19950
 C Class,2019,Semi-Auto,20016,Petrol,145,29.7,3.0,35740
 GLA Class,2016,Semi-Auto,27931,Diesel,125,56.5,2.1,18485
 C Class,2019,Semi-Auto,14298,Petrol,145,46.3,1.5,20299
 A Class,2016,Automatic,27208,Diesel,20,67.3,2.1,19100
 E Class,2013,Automatic,89625,Hybrid,20,62.8,2.1,11995
 C Class,2016,Automatic,100000,Hybrid,0,134.5,2.0,12795
 SLK,2008,Automatic,65000,Petrol,290,34.4,1.8,6775
 SL CLASS,2016,Semi-Auto,30269,Diesel,30,70.6,2.1,18698
 C Class,2018,Automatic,19825,Diesel,145,67.3,2.1,22000
 C Class,2015,Automatic,20000,Diesel,30,64.2,2.1,20999
 GL Class,2016,Automatic,17909,Petrol,145,50.4,1.6,18295
