model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 GLE Class,2017,Semi-Auto,17713,Diesel,145,47.9,2.1,28795
 E Class,2017,Semi-Auto,23211,Diesel,145,65.7,2.0,21989
 C Class,2019,Semi-Auto,5046,Petrol,145,45.6,1.5,26000
 A Class,2019,Automatic,442,Diesel,145,62.8,1.5,22899
 C Class,2016,Semi-Auto,26957,Diesel,30,65.7,1.6,15990
 A Class,2019,Manual,9203,Petrol,145,28.5,1.3,20149
 CLA Class,2019,Automatic,13500,Diesel,145,51.4,2.1,25744
 GL Class,2014,Automatic,34534,Petrol,200,42.8,2.0,15965
 A Class,2019,Automatic,10929,Diesel,145,56.5,2.0,23745
 A Class,2013,Automatic,46414,Diesel,30,64.2,1.8,10700
 C Class,2019,Semi-Auto,10544,Petrol,145,44.1,1.5,25349
 CL Class,2017,Automatic,49434,Diesel,125,58.9,2.1,18295
 A Class,2019,Manual,11245,Petrol,145,28.5,1.3,19592
 A Class,2017,Automatic,19286,Diesel,145,74.3,1.5,15700
 A Class,2019,Semi-Auto,1000,Diesel,145,65.7,1.5,24669
 C Class,2017,Semi-Auto,20604,Diesel,145,65.7,2.1,23899
 GLC Class,2019,Automatic,15961,Petrol,150,38.7,2.0,31000
 A Class,2019,Semi-Auto,9,Petrol,145,53.3,1.3,24980
 E Class,2019,Semi-Auto,7068,Diesel,145,57.7,2.0,34980
 C Class,2016,Semi-Auto,27968,Diesel,125,60.1,2.1,20498
 GLC Class,2019,Automatic,9125,Diesel,145,40.4,2.0,41620
 A Class,2016,Semi-Auto,10104,Petrol,325,30.1,4.0,69995
 S Class,2013,Automatic,56061,Hybrid,190,44.8,3.5,24530
 A Class,2016,Semi-Auto,14066,Diesel,125,58.9,2.1,19999
 C Class,2017,Semi-Auto,17800,Diesel,145,67.3,2.1,22899
 E Class,2019,Automatic,150,Petrol,145,32.5,3.0,49010
 E Class,2019,Semi-Auto,4613,Hybrid,135,188.3,2.0,41099
 C Class,2017,Semi-Auto,43000,Diesel,125,61.4,2.1,19995
 C Class,2015,Automatic,32967,Diesel,30,64.2,2.1,15500
 C Class,2019,Semi-Auto,2986,Diesel,145,53.3,2.0,29980
 C Class,2019,Semi-Auto,11242,Diesel,145,64.2,2.0,29199
 E Class,2019,Semi-Auto,484,Petrol,145,31.7,3.0,56499
 E Class,2019,Semi-Auto,13997,Diesel,145,48.7,3.0,34950
 B Class,2015,Semi-Auto,13008,Diesel,20,68.9,2.1,13250
 CL Class,2017,Manual,32282,Petrol,145,51.4,1.6,16490
 C Class,2015,Automatic,25000,Hybrid,0,134.5,2.0,18298
 GLC Class,2016,Semi-Auto,30000,Diesel,125,56.5,2.1,22995
 GLE Class,2019,Semi-Auto,4957,Diesel,145,32.5,3.0,56000
 E Class,2019,Semi-Auto,1000,Diesel,145,48.7,3.0,45799
 C Class,2019,Semi-Auto,13864,Diesel,145,61.4,2.0,23980
 V Class,2017,Automatic,2552,Diesel,145,45.6,2.2,32499
 GLA Class,2017,Semi-Auto,27775,Diesel,145,67.3,2.1,17299
 C Class,2019,Semi-Auto,15275,Petrol,145,44.1,2.0,26980
 C Class,2019,Automatic,1097,Diesel,145,51.4,2.0,31999
 C Class,2019,Semi-Auto,13193,Petrol,145,47.1,1.5,25449
 A Class,2017,Manual,28584,Diesel,20,68.9,1.5,14250
 A Class,2016,Manual,15700,Petrol,125,51.4,1.6,14999
 E Class,2019,Semi-Auto,13423,Diesel,145,72.4,2.0,24999
 C Class,2014,Semi-Auto,26216,Diesel,30,64.2,2.1,15998
 GLE Class,2016,Semi-Auto,37870,Diesel,200,47.9,2.1,26499
 C Class,2019,Semi-Auto,4737,Petrol,145,45.6,1.5,24980
 E Class,2016,Semi-Auto,23129,Diesel,150,56.5,2.1,18500
 GLC Class,2016,Automatic,68594,Diesel,125,56.5,2.1,21000
 C Class,2014,Semi-Auto,32475,Diesel,30,64.2,2.1,17330
 C Class,2017,Semi-Auto,48404,Hybrid,0,134.5,2.0,18498
 C Class,2019,Semi-Auto,9905,Diesel,145,58.9,2.0,24599
 A Class,2019,Semi-Auto,13284,Diesel,145,56.5,2.0,22280
 E Class,2012,Automatic,70000,Diesel,145,57.6,2.1,9000
 C Class,2016,Manual,63478,Diesel,20,68.9,2.1,15499
 GLC Class,2017,Semi-Auto,25782,Diesel,150,56.5,2.1,29500
 CL Class,2020,Semi-Auto,4500,Petrol,145,44.8,1.3,28995
 C Class,2018,Semi-Auto,9009,Petrol,145,55.4,2.0,24994
 C Class,2015,Semi-Auto,20100,Diesel,30,61.4,2.1,16789
 CL Class,2019,Semi-Auto,6152,Petrol,145,38.2,2.0,24000
 C Class,2019,Semi-Auto,14959,Diesel,145,61.4,2.0,22899
 A Class,2017,Manual,10634,Petrol,150,49.6,1.6,17000
 E Class,2020,Semi-Auto,4499,Diesel,145,53.3,2.0,39995
 E Class,2015,Automatic,46578,Diesel,30,64.2,2.1,13999
 E Class,2019,Semi-Auto,6306,Diesel,145,70.6,2.0,34980
 C Class,2017,Semi-Auto,16902,Diesel,145,60.1,2.1,20998
 CL Class,2016,Automatic,21000,Diesel,20,70.6,2.1,16990
 GLA Class,2015,Automatic,23432,Diesel,125,56.5,2.1,18902
 E Class,2019,Semi-Auto,3999,Petrol,145,31.7,3.0,56980
 CL Class,2016,Automatic,51000,Diesel,125,58.9,2.1,16990
 E Class,2017,Semi-Auto,11900,Diesel,145,65.7,2.0,22549
 E Class,2019,Semi-Auto,5631,Diesel,145,70.6,2.0,32499
 CLA Class,2016,Automatic,55700,Diesel,20,67.3,2.1,13795
 SL CLASS,2015,Automatic,38570,Petrol,260,36.7,3.0,26750
 C Class,2019,Automatic,10091,Diesel,145,57.7,2.0,27890
 C Class,2017,Semi-Auto,22369,Diesel,145,61.4,2.1,24735
 C Class,2019,Semi-Auto,10037,Diesel,145,64.2,2.1,20699
 CLS Class,2018,Semi-Auto,16019,Diesel,145,48.7,2.9,32849
 E Class,2017,Semi-Auto,21166,Diesel,145,50.4,3.0,19995
 C Class,2018,Automatic,22000,Petrol,150,29.4,3.0,33490
 A Class,2019,Automatic,8170,Diesel,145,65.7,1.5,18900
 A Class,2016,Manual,18593,Diesel,0,80.7,1.5,12999
 GLC Class,2016,Semi-Auto,33294,Diesel,125,56.5,2.1,26780
 A Class,2018,Manual,12089,Diesel,145,68.9,1.5,16495
 E Class,2017,Automatic,52329,Diesel,145,67.3,2.0,18500
 GLA Class,2019,Manual,19638,Petrol,150,40.9,1.6,18500
 E Class,2018,Automatic,28000,Diesel,150,72.4,2.0,20000
 A Class,2016,Manual,58223,Diesel,20,72.4,1.5,11999
 GLC Class,2016,Semi-Auto,21355,Diesel,145,56.5,2.1,28999
